run_id,case_id,generation_mode,trial_id,provider,provider_mode,scientific_llm_evidence,performance_evidence_scope,model,prompt_sha256,request_hash,raw_response_hash,parsed_plan_hash,cache_key,cache_hit,initial_json_valid,final_json_valid,initial_plan_valid,final_plan_valid,repair_rate,repair_count,provider_failure,artifact_dir
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,ae28f5c2cb388ce958c0b6f5566655f464dc15820d68565a72b829e674413c67,bb893d96120baa29925a8127355dcbc3e01c952b9e39915ae88987b6fdf5faaa,e6e9f27463d137c9d5d9fd35ead539a252c526a34c5b4efe8d0e48a0e66b1c27,744ae02b72ac2935e5713350b4cc8954b84489405e943bd92f4e373e59c3a45c,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p01_amplifier\deepseek_refinement\trial_01
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_02,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,ae28f5c2cb388ce958c0b6f5566655f464dc15820d68565a72b829e674413c67,bb893d96120baa29925a8127355dcbc3e01c952b9e39915ae88987b6fdf5faaa,e6e9f27463d137c9d5d9fd35ead539a252c526a34c5b4efe8d0e48a0e66b1c27,6f112a88cb6aeaace5194cbfed81a700370572721d93e5c7a82c104bfb1c31c2,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p01_amplifier\deepseek_refinement\trial_02
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_03,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,ae28f5c2cb388ce958c0b6f5566655f464dc15820d68565a72b829e674413c67,bb893d96120baa29925a8127355dcbc3e01c952b9e39915ae88987b6fdf5faaa,e6e9f27463d137c9d5d9fd35ead539a252c526a34c5b4efe8d0e48a0e66b1c27,60a1d7511caae14d93925828378603e4fc470576e7ad42914fd3a6bc5f8758c2,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p01_amplifier\deepseek_refinement\trial_03
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,3cecbf358600e9d0ca41f565243d157b4a5be4c165adb3ab3616b9361513a009,7bc97d4a24656e104c832b797f597957183366ecb6a19105f8edfb6477380f74,7c046d11fb07036d6def6536e6bf1c58dea8cf496d27b7d1ac550b820e1623ab,06761468bd6eae456e99ddfe64b5f439b76ec57f5467daf12cdf8f0e6ed4de6d,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p05_amplifier\deepseek_refinement\trial_01
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_02,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,3cecbf358600e9d0ca41f565243d157b4a5be4c165adb3ab3616b9361513a009,7bc97d4a24656e104c832b797f597957183366ecb6a19105f8edfb6477380f74,7c046d11fb07036d6def6536e6bf1c58dea8cf496d27b7d1ac550b820e1623ab,b188847a0875cd22006d59433f52d2f4492621ec2dbb5736542272a86176b502,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p05_amplifier\deepseek_refinement\trial_02
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_03,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,3cecbf358600e9d0ca41f565243d157b4a5be4c165adb3ab3616b9361513a009,7bc97d4a24656e104c832b797f597957183366ecb6a19105f8edfb6477380f74,7c046d11fb07036d6def6536e6bf1c58dea8cf496d27b7d1ac550b820e1623ab,69982433587f8a425763975c6109c497efd1433be768124239cda29cfa71c2be,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p05_amplifier\deepseek_refinement\trial_03
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,7e1b8e3e42ebffdde65f4ba2c1a51172eb4abbdb0be79b7267feb3d84a31fc22,7f605b7b607a562dce5cd314c069816b901f91c32aea702de9c38596d7a81cda,b5824634bedfc7274e03883c7c4c26dd28f1a0c933a169188d3b1d199b1bbde8,40a2d3b110ccb80f77cb6852b0dab85270fa3c7431fe48df19ba6f01c090f290,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p17_currentmirror\deepseek_refinement\trial_01
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_02,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,7e1b8e3e42ebffdde65f4ba2c1a51172eb4abbdb0be79b7267feb3d84a31fc22,7f605b7b607a562dce5cd314c069816b901f91c32aea702de9c38596d7a81cda,b5824634bedfc7274e03883c7c4c26dd28f1a0c933a169188d3b1d199b1bbde8,28f4c1956435d2bf15d3710961b261742e0ba2761e1c25d974835792f67225eb,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p17_currentmirror\deepseek_refinement\trial_02
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_03,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,7e1b8e3e42ebffdde65f4ba2c1a51172eb4abbdb0be79b7267feb3d84a31fc22,7f605b7b607a562dce5cd314c069816b901f91c32aea702de9c38596d7a81cda,b5824634bedfc7274e03883c7c4c26dd28f1a0c933a169188d3b1d199b1bbde8,6efdb416b59816b22275fb470c9dc4c9c70081887b4b4b1abb07cf034144d88e,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p17_currentmirror\deepseek_refinement\trial_03
stub_frozen_20260721,ref_fp2_p16_opamp,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,cb9c29f3d3ca93f4493c1477069d1b513996131143215817af0cdaf311c27d07,bc1fce9f4638b5b92ef4a26dca78a429deddbd0602c6c3dbd2ca79ed6289a53c,79e11d47b970170c554e769d9cff97aac13067248e7c2e26c2572b05494d5e66,e51c16aed9ae97e6cde7efd4f915172bdd3f24d8f384e1bd5c0f54629d03a38a,92c868b9e8c6ea8d4b8da6cb402e84854304bd415f1e3d6f77c30f0de6f6f239,False,True,True,True,True,False,0,False,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p16_opamp\deepseek_refinement\trial_01
