run_id,case_id,generation_mode,trial_id,ground_truth_label,compliance_status,scientific_category,evaluation_outcome
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,FALSE_REJECT
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,FALSE_REJECT
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,FALSE_REJECT
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p16_opamp,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p16_opamp,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p16_opamp,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p20_opamp,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p20_opamp,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p20_opamp,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p22_oscillator,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p22_oscillator,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p22_oscillator,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p07_inverter,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p07_inverter,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,ref_fp2_p07_inverter,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,fp2_cv_006_p01_gain_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_006_p01_gain_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_006_p01_gain_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_023_p05_current_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_023_p05_current_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_023_p05_current_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_011_p17_current_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,fp2_cv_011_p17_current_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,fp2_cv_011_p17_current_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,fp2_cv_012_p16_bias_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_012_p16_bias_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_012_p16_bias_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_013_p20_bias_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_013_p20_bias_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
