run_id,case_id,generation_mode,trial_id,testbench_validity_status,execution_status,simulation_mode,measurement_backend,artifact_dir
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_01,VALID,SUCCESS,REAL,UNAVAILABLE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p01_amplifier\deepseek_refinement\trial_01
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_02,VALID,SUCCESS,REAL,UNAVAILABLE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p01_amplifier\deepseek_refinement\trial_02
stub_frozen_20260721,ref_fp2_p01_amplifier,deepseek_refinement,trial_03,VALID,SUCCESS,REAL,UNAVAILABLE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p01_amplifier\deepseek_refinement\trial_03
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_01,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p05_amplifier\deepseek_refinement\trial_01
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_02,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p05_amplifier\deepseek_refinement\trial_02
stub_frozen_20260721,ref_fp2_p05_amplifier,deepseek_refinement,trial_03,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p05_amplifier\deepseek_refinement\trial_03
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_01,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p17_currentmirror\deepseek_refinement\trial_01
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_02,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p17_currentmirror\deepseek_refinement\trial_02
stub_frozen_20260721,ref_fp2_p17_currentmirror,deepseek_refinement,trial_03,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p17_currentmirror\deepseek_refinement\trial_03
stub_frozen_20260721,ref_fp2_p16_opamp,deepseek_refinement,trial_01,VALID,SUCCESS,REAL,NGSPICE_MEASURE,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\llm_deepseek\stub_frozen_20260721\ref_fp2_p16_opamp\deepseek_refinement\trial_01
