run_id,case_id,use_case,circuit_family,ground_truth_label,generation_mode,trial_id,provider,provider_mode,scientific_llm_evidence,performance_evidence_scope,model,prompt_version,initial_json_valid,final_plan_valid,repair_count,testbench_validity_status,execution_status,simulation_mode,measurement_backend,requested_metric_count,evaluated_metric_count,metric_coverage,compliance_status,scientific_category,evaluation_outcome,generation_latency_s,simulation_latency_s,prompt_tokens,completion_tokens,total_tokens,manifest_source,cache_used,metric_name,metric_value,metric_unit,metric_operator,metric_threshold,metric_status,netlist_sha256,specification_sha256,testbench_sha256,artifact_dir,source_artifact
stub_frozen_20260721,ref_fp2_p01_amplifier,UC_AC_GAIN,amplifier,GROUND_TRUTH_COMPLIANT,deterministic,deterministic,historical_reference,,False,DETERMINISTIC_BASELINE,frozen_v3_reference,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,,TRUE_ACCEPT,0.0,0.0,,,,frozen_v3_reference,False,dc_gain_db,-31.88738224966965,dB,>=,-35.0,PASS,34bb6f66e70c454b0870b7bff11eef89c6b70a807bfc13f1c186a100e9bdfb6d,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e58d2692ef4f8b4dd74676143fa5f67f3d7fa9077d97a6dd7df7c184feb56cef,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p01_amplifier,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_xec5lt_d\measures.txt
stub_frozen_20260721,ref_fp2_p01_amplifier,UC_AC_GAIN,amplifier,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,UNAVAILABLE,1,1,1.0,FAIL,SIMULABLE_NONCOMPLIANT,FALSE_REJECT,0.00033399999938410474,0.0,,,,,,,,,,,,,,,,
stub_frozen_20260721,ref_fp2_p01_amplifier,UC_AC_GAIN,amplifier,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_02,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,UNAVAILABLE,1,1,1.0,FAIL,SIMULABLE_NONCOMPLIANT,FALSE_REJECT,0.00019069999962084694,0.0,,,,,,,,,,,,,,,,
stub_frozen_20260721,ref_fp2_p01_amplifier,UC_AC_GAIN,amplifier,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_03,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,UNAVAILABLE,1,1,1.0,FAIL,SIMULABLE_NONCOMPLIANT,FALSE_REJECT,0.00015299999995477265,0.0,,,,,,,,,,,,,,,,
stub_frozen_20260721,ref_fp2_p05_amplifier,UC_DC_CURRENT_POWER,amplifier,GROUND_TRUTH_COMPLIANT,deterministic,deterministic,historical_reference,,False,DETERMINISTIC_BASELINE,frozen_v3_reference,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,,TRUE_ACCEPT,0.0,0.0,,,,frozen_v3_reference,False,quiescent_current,0.0004909874144028382,A,<=,0.001,PASS,47d0f1321538a22d9464d4b55379f1c34bc2755075e86d39ee9327c2c12a48d4,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,f776f229bc4a74c89630fdc32e2a3322a41102f14f011b3874aa779b7e95afd2,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p05_amplifier,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_yad9l_5f\measures.txt
stub_frozen_20260721,ref_fp2_p05_amplifier,UC_DC_CURRENT_POWER,amplifier,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT,0.00023430000055668643,0.0,,,,,,,,,,,,,,,,
stub_frozen_20260721,ref_fp2_p05_amplifier,UC_DC_CURRENT_POWER,amplifier,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_02,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT,0.00016830000004119938,0.0,,,,,,,,,,,,,,,,
stub_frozen_20260721,ref_fp2_p05_amplifier,UC_DC_CURRENT_POWER,amplifier,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_03,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT,0.00013939999917056412,0.0,,,,,,,,,,,,,,,,
stub_frozen_20260721,ref_fp2_p17_currentmirror,UC_DC_CURRENT_POWER,current_mirror,GROUND_TRUTH_COMPLIANT,deterministic,deterministic,historical_reference,,False,DETERMINISTIC_BASELINE,frozen_v3_reference,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,,TRUE_ACCEPT,0.0,0.0,,,,frozen_v3_reference,False,quiescent_current,0.0001999999999999999,A,within,0.0001..0.05,PASS,1fabf7ca549dc5090b8245e186ed970e6f811965f90ad5b84ae5f5867956ffa2,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,e2fe2509d224cab6c824db31a3342566b9a4720c49a319b072f20678cae41181,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p17_currentmirror,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_9toe_vpw\measures.txt
stub_frozen_20260721,ref_fp2_p17_currentmirror,UC_DC_CURRENT_POWER,current_mirror,GROUND_TRUTH_COMPLIANT,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT,0.00014139999984763563,0.0,,,,,,,,,,,,,,,,
